VertexFrom,VertexTo,TimeStart,TimeStop,Duration
A113,A100,3110,3111,1
A117,A100,237,238,1
A117,A100,244,245,1
A117,A100,252,253,1
A117,A100,324,325,1
A118,A100,1100,1101,1
A118,A100,1975,1976,1
A134,A100,1651,1652,1
A152,A100,842,843,1
A116,A111,533,534,1
A116,A111,2272,2273,1
A116,A111,2547,2548,1
A116,A111,3727,3728,1
A117,A111,284,285,1
A117,A111,316,317,1
A126,A111,4635,4636,1
A126,A111,4638,4639,1
A147,A111,5467,5468,1
A148,A111,6984,6985,1
A158,A111,2878,2879,1
A159,A111,3207,3208,1
A159,A111,3209,3210,1
A518,A111,3204,3205,1
A518,A111,3209,3210,1
A518,A111,4576,4577,1
A540,A111,6385,6386,1
A546,A111,2541,2542,1
A546,A111,6670,6671,1
A546,A111,6944,6945,1
A553,A111,3507,3508,1
A559,A111,6428,6429,1
A114,A113,254,255,1
A114,A113,266,267,1
A114,A113,327,328,1
A116,A113,1235,1236,1
A117,A113,302,303,1
A117,A113,3426,3427,1
A118,A113,5346,5347,1
A118,A113,5362,5363,1
A118,A113,7073,7074,1
A126,A113,5357,5358,1
A126,A113,7024,7025,1
A142,A113,3702,3703,1
A143,A113,1528,1529,1
A148,A113,5650,5651,1
A155,A113,2810,2811,1
A157,A113,2775,2776,1
A157,A113,3713,3714,1
A159,A113,1844,1845,1
A519,A113,3731,3732,1
A539,A113,4680,4681,1
A539,A113,4682,4683,1
A539,A113,6085,6086,1
A539,A113,6130,6131,1
A546,A113,1540,1541,1
A546,A113,1544,1545,1
A546,A113,1547,1548,1
A111,A114,4074,4075,1
A117,A114,325,326,1
A122,A114,6874,6875,1
A143,A114,5268,5269,1
A152,A114,1456,1457,1
A152,A114,1464,1465,1
A152,A114,1511,1512,1
A152,A114,2593,2594,1
A157,A114,1892,1893,1
A157,A114,3717,3718,1
A158,A114,2549,2550,1
A159,A114,6468,6469,1
A500,A114,6426,6427,1
A500,A114,6429,6430,1
A525,A114,5581,5582,1
A540,A114,6463,6464,1
A546,A114,1928,1929,1
A546,A114,1934,1935,1
A546,A114,1940,1941,1
A546,A114,5298,5299,1
A553,A114,5265,5266,1
A111,A116,1648,1649,1
A111,A116,2272,2273,1
A111,A116,2547,2548,1
A111,A116,2837,2838,1
A111,A116,6934,6935,1
A113,A116,3713,3714,1
A126,A116,883,884,1
A126,A116,6261,6262,1
A126,A116,6268,6269,1
A142,A116,914,915,1
A142,A116,1209,1210,1
A142,A116,6213,6214,1
A143,A116,879,880,1
A143,A116,1195,1196,1
A143,A116,3403,3404,1
A148,A116,1621,1622,1
A148,A116,1625,1626,1
A148,A116,1641,1642,1
A148,A116,3728,3729,1
A152,A116,1206,1207,1
A159,A116,6943,6944,1
A518,A116,496,497,1
A518,A116,885,886,1
A519,A116,4499,4500,1
A525,A116,6924,6925,1
A546,A116,6274,6275,1
A114,A117,322,323,1
A118,A117,676,677,1
A122,A117,1349,1350,1
A134,A117,946,947,1
A134,A117,957,958,1
A142,A117,281,282,1
A157,A117,2196,2197,1
A100,A118,1100,1101,1
A100,A118,1415,1416,1
A113,A118,5366,5367,1
A113,A118,7073,7074,1
A114,A118,239,240,1
A114,A118,249,250,1
A114,A118,320,321,1
A117,A118,299,300,1
A117,A118,304,305,1
A126,A118,1709,1710,1
A130,A118,3897,3898,1
A130,A118,4211,4212,1
A130,A118,4214,4215,1
A130,A118,5688,5689,1
A142,A118,4765,4766,1
A143,A118,6769,6770,1
A152,A118,4223,4224,1
A158,A118,1672,1673,1
A158,A118,1982,1983,1
A518,A118,3647,3648,1
A518,A118,5102,5103,1
A525,A118,6726,6727,1
A544,A118,4207,4208,1
A546,A118,2955,2956,1
A559,A118,6759,6760,1
A111,A122,921,922,1
A114,A122,229,230,1
A114,A122,6861,6862,1
A114,A122,6864,6865,1
A114,A122,6876,6877,1
A114,A122,6897,6898,1
A114,A122,6900,6901,1
A130,A122,401,402,1
A130,A122,2397,2398,1
A142,A122,225,226,1
A142,A122,2106,2107,1
A143,A122,6546,6547,1
A145,A122,944,945,1
A152,A122,897,898,1
A155,A122,7163,7164,1
A157,A122,869,870,1
A157,A122,873,874,1
A518,A122,2420,2421,1
A539,A122,2865,2866,1
A539,A122,2916,2917,1
A539,A122,4678,4679,1
A539,A122,4695,4696,1
A553,A122,3951,3952,1
A553,A122,6893,6894,1
A553,A122,6896,6897,1
A557,A122,6597,6598,1
A559,A122,5791,5792,1
A559,A122,5817,5818,1
A559,A122,7164,7165,1
A113,A126,3100,3101,1
A114,A126,4981,4982,1
A117,A126,345,346,1
A117,A126,2708,2709,1
A118,A126,1690,1691,1
A118,A126,1698,1699,1
A122,A126,896,897,1
A122,A126,2049,2050,1
A130,A126,2702,2703,1
A130,A126,5672,5673,1
A142,A126,226,227,1
A142,A126,869,870,1
A143,A126,3633,3634,1
A145,A126,891,892,1
A148,A126,6713,6714,1
A152,A126,548,549,1
A152,A126,1661,1662,1
A152,A126,1666,1667,1
A152,A126,1669,1670,1
A157,A126,1253,1254,1
A158,A126,1644,1645,1
A518,A126,517,518,1
A518,A126,525,526,1
A518,A126,533,534,1
A518,A126,3692,3693,1
A525,A126,7014,7015,1
A540,A126,5712,5713,1
A540,A126,5720,5721,1
A544,A126,5293,5294,1
A553,A126,5956,5957,1
A116,A130,6931,6932,1
A118,A130,3893,3894,1
A122,A130,2108,2109,1
A122,A130,7181,7182,1
A126,A130,6930,6931,1
A141,A130,1458,1459,1
A142,A130,2396,2397,1
A142,A130,2401,2402,1
A147,A130,4775,4776,1
A148,A130,5646,5647,1
A159,A130,2118,2119,1
A540,A130,6342,6343,1
A540,A130,6347,6348,1
A546,A130,1123,1124,1
A546,A130,3534,3535,1
A100,A134,1651,1652,1
A116,A134,927,928,1
A116,A134,1615,1616,1
A117,A134,231,232,1
A117,A134,243,244,1
A117,A134,256,257,1
A117,A134,263,264,1
A141,A134,2453,2454,1
A148,A134,1614,1615,1
A518,A134,2109,2110,1
A518,A134,2444,2445,1
A117,A141,282,283,1
A117,A141,339,340,1
A117,A141,348,349,1
A130,A141,1457,1458,1
A142,A141,279,280,1
A148,A141,1076,1077,1
A157,A141,2449,2450,1
A158,A141,5907,5908,1
A518,A141,5909,5910,1
A113,A142,5363,5364,1
A113,A142,5383,5384,1
A116,A142,914,915,1
A130,A142,2397,2398,1
A130,A142,2401,2402,1
A148,A142,2934,2935,1
A152,A142,897,898,1
A152,A142,902,903,1
A159,A142,1799,1800,1
A525,A142,4452,4453,1
A525,A142,7020,7021,1
A557,A142,5384,5385,1
A111,A143,1236,1237,1
A113,A143,1528,1529,1
A113,A143,1541,1542,1
A114,A143,315,316,1
A114,A143,357,358,1
A116,A143,3404,3405,1
A117,A143,264,265,1
A118,A143,6769,6770,1
A122,A143,3652,3653,1
A122,A143,6548,6549,1
A126,A143,3649,3650,1
A152,A143,560,561,1
A518,A143,558,559,1
A519,A143,4512,4513,1
A519,A143,5240,5241,1
A525,A143,4796,4797,1
A539,A143,6078,6079,1
A546,A143,1552,1553,1
A553,A143,6294,6295,1
A557,A143,7048,7049,1
A122,A145,896,897,1
A122,A145,899,900,1
A143,A145,918,919,1
A152,A145,900,901,1
A111,A147,4040,4041,1
A111,A147,6938,6939,1
A114,A147,239,240,1
A114,A147,255,256,1
A122,A147,1013,1014,1
A122,A147,3271,3272,1
A122,A147,6073,6074,1
A126,A147,6962,6963,1
A126,A147,6968,6969,1
A143,A147,6083,6084,1
A155,A147,1013,1014,1
A155,A147,1015,1016,1
A157,A147,2161,2162,1
A157,A147,4805,4806,1
A546,A147,4536,4537,1
A111,A148,2277,2278,1
A111,A148,3721,3722,1
A111,A148,6984,6985,1
A114,A148,278,279,1
A114,A148,283,284,1
A114,A148,302,303,1
A114,A148,320,321,1
A116,A148,1625,1626,1
A116,A148,1642,1643,1
A117,A148,275,276,1
A117,A148,325,326,1
A126,A148,6714,6715,1
A141,A148,1075,1076,1
A152,A148,1659,1660,1
A157,A148,1892,1893,1
A158,A148,1664,1665,1
A158,A148,6696,6697,1
A159,A148,2905,2906,1
A159,A148,6444,6445,1
A159,A148,6446,6447,1
A540,A148,7013,7014,1
A546,A148,4520,4521,1
A546,A148,5640,5641,1
A114,A152,2550,2551,1
A118,A152,6196,6197,1
A118,A152,6202,6203,1
A122,A152,6198,6199,1
A126,A152,1655,1656,1
A126,A152,1666,1667,1
A130,A152,3316,3317,1
A130,A152,3319,3320,1
A130,A152,5696,5697,1
A142,A152,1210,1211,1
A143,A152,3325,3326,1
A145,A152,888,889,1
A147,A152,3279,3280,1
A148,A152,1909,1910,1
A148,A152,1945,1946,1
A158,A152,1657,1658,1
A158,A152,2549,2550,1
A519,A152,5619,5620,1
A519,A152,6555,6556,1
A519,A152,6583,6584,1
A535,A152,4557,4558,1
A535,A152,4576,4577,1
A539,A152,2945,2946,1
A546,A152,2550,2551,1
A553,A152,4282,4283,1
A553,A152,6581,6582,1
A559,A152,4240,4241,1
A559,A152,5232,5233,1
A113,A155,2810,2811,1
A114,A155,241,242,1
A114,A155,265,266,1
A114,A155,323,324,1
A114,A155,346,347,1
A114,A155,360,361,1
A114,A155,369,370,1
A117,A155,299,300,1
A122,A155,995,996,1
A122,A155,2382,2383,1
A141,A155,1436,1437,1
A147,A155,1013,1014,1
A148,A155,1014,1015,1
A546,A155,1902,1903,1
A546,A155,3199,3200,1
A559,A155,7158,7159,1
A114,A156,2542,2543,1
A116,A156,537,538,1
A130,A156,406,407,1
A130,A156,420,421,1
A142,A156,594,595,1
A152,A156,508,509,1
A152,A156,565,566,1
A157,A156,5683,5684,1
A540,A156,5699,5700,1
A546,A156,2542,2543,1
A546,A156,2601,2602,1
A113,A157,3714,3715,1
A116,A157,494,495,1
A116,A157,919,920,1
A118,A157,4760,4761,1
A118,A157,5684,5685,1
A122,A157,4777,4778,1
A126,A157,909,910,1
A142,A157,917,918,1
A143,A157,919,920,1
A540,A157,5392,5393,1
A540,A157,7093,7094,1
A559,A157,4202,4203,1
A111,A158,6695,6696,1
A114,A158,2592,2593,1
A114,A158,3175,3176,1
A114,A158,6440,6441,1
A122,A158,5056,5057,1
A122,A158,5083,5084,1
A148,A158,1664,1665,1
A148,A158,1922,1923,1
A152,A158,2554,2555,1
A152,A158,5870,5871,1
A152,A158,6154,6155,1
A159,A158,3192,3193,1
A519,A158,4543,4544,1
A546,A158,2580,2581,1
A546,A158,6921,6922,1
A111,A159,3775,3776,1
A111,A159,3783,3784,1
A113,A159,813,814,1
A113,A159,4288,4289,1
A114,A159,6468,6469,1
A116,A159,6943,6944,1
A126,A159,4619,4620,1
A126,A159,6710,6711,1
A126,A159,6969,6970,1
A126,A159,6973,6974,1
A130,A159,1471,1472,1
A142,A159,2079,2080,1
A148,A159,2905,2906,1
A148,A159,6444,6445,1
A152,A159,850,851,1
A156,A159,5707,5708,1
A157,A159,1507,1508,1
A518,A159,6483,6484,1
